id,make,model,year,capacity,handicapped,updated_at
3,Honda,Odyssey,2017,8,0,6/2/2021 19:47
3,Honda,Odyssey,2017,8,0,12/13/2021 13:04
4,Honda,Odyssey,2018,7,0,4/19/2021 13:49
4,Honda,Odyssey,2018,7,0,12/13/2021 13:05
5,Honda,Odyssey,2018,7,0,6/2/2021 19:46
5,Honda,Odyssey,2018,7,0,12/13/2021 13:04
5,Honda,Odyssey,2018,7,0,1/2/2022 3:52
7,Honda,Odyssey,2018,7,0,3/2/2021 16:24
7,Honda,Odyssey,2018,7,0,12/13/2021 13:04
8,Honda,Odyssey,2011,7,0,12/31/2020 13:58
8,Honda,Odyssey,2011,7,0,7/31/2022 18:28
23,Ford,F-350,2010,11,3,3/2/2021 16:36
23,Ford,F-350,2010,11,3,9/13/2021 19:19
24,Ford,F-350,2010,11,3,3/2/2021 16:37
24,Ford,F-350,2010,11,3,9/13/2021 19:19
30,Ford,F-350,2010,14,2,5/25/2021 13:31
30,Ford,F-350,2010,14,2,1/2/2022 14:58
30,Ford,F-350,2010,14,2,7/31/2022 18:28
41,Ford,F-350,2017,14,2,3/31/2021 17:29
41,Ford,F-350,2017,14,2,1/2/2022 14:58
41,Ford,F-350,2017,14,2,7/31/2022 18:26
42,Ford,,2018,9,2,3/2/2021 16:28
42,Ford,,2018,9,2,1/2/2022 14:58
42,Ford,,2018,9,2,7/31/2022 18:29
43,Dodge,Caravan,2017,5,1,3/2/2021 16:33
43,Dodge,Caravan,2017,5,1,7/31/2022 18:29
46,Ford,,2018,14,0,4/20/2021 16:33
46,Ford,,2018,14,0,10/15/2021 14:29
46,Ford,,2018,14,0,1/2/2022 15:03
46,Ford,,2018,14,0,8/10/2022 18:56
50,Ford,,2018,14,0,3/2/2021 16:26
50,Ford,,2018,14,0,1/2/2022 4:04
50,Ford,,2018,14,0,7/31/2022 18:29
51,Ford,,2010,14,0,4/7/2021 12:53
51,Ford,,2010,14,0,1/6/2022 17:31
53,Honda,Odyssey,2018,7,0,3/2/2021 16:25
53,Honda,Odyssey,2018,7,0,1/2/2022 14:56
54,Honda,Odyssey,2018,6,0,4/15/2021 21:23
54,Honda,Odyssey,2018,6,0,7/31/2022 18:27
55,Ford,,2018,14,0,5/18/2021 8:58
55,Ford,,2018,14,0,1/2/2022 14:57
58,Ford,,2018,10,2,4/7/2021 12:55
58,Ford,,2018,10,2,1/2/2022 14:58
58,Ford,,2018,10,2,3/24/2022 13:31
58,Ford,,2018,10,2,7/31/2022 18:29
59,Ford,,2018,10,2,5/25/2021 20:52
59,Ford,,2018,10,2,7/31/2022 18:27
60,Ford,,2019,10,2,6/11/2021 20:55
60,Ford,,2019,10,2,7/31/2022 18:28
61,Ford,,2018,10,2,6/11/2021 20:56
61,Ford,,2018,10,2,7/31/2022 18:27
71,Ford,,2019,12,4,3/2/2021 16:42
71,Ford,,2019,12,4,1/2/2022 14:59
72,Ford,,2019,12,4,5/25/2021 13:31
72,Ford,,2019,12,4,1/2/2022 14:59
81,Ford,,2019,13,0,4/7/2021 12:51
81,Ford,,2019,13,0,1/2/2022 14:57
81,Ford,,2019,13,0,8/19/2022 13:42
82,Ford,E-450,2019,24,0,12/31/2020 13:57
82,Ford,E-450,2019,24,0,7/21/2022 16:35
83,Ford,E-450,2019,24,0,12/31/2020 13:56
83,Ford,E-450,2019,24,0,1/2/2022 14:59
83,Ford,E-450,2019,24,0,7/21/2022 16:35
84,Ford,E-450,2019,24,0,7/21/2022 16:35
84,Ford,E-450,2019,24,0,8/9/2022 15:27
85,Ford,,2019,13,0,4/7/2021 12:52
85,Ford,,2019,13,0,1/2/2022 14:57
86,Ford,,2019,13,0,4/7/2021 12:53
86,Ford,,2019,13,0,1/2/2022 14:58
99,Ford,Test Van,2019,11,1,7/6/2021 11:49
99,Ford,Test Van,2019,11,1,8/4/2022 13:25
174,Ford,Transit,2019,10,2,1/21/2022 18:26
181,Honda,odyssey,2019,6,0,1/21/2022 18:26
184,Ford,Transit,2018,6,2,2/5/2021 22:50
185,Ford ,transit,2019,10,2,3/5/2021 15:42
185,Ford ,transit,2019,10,2,12/15/2021 16:29
186,Chevrolet ,Canyon,2016,3,0,1/26/2021 14:42
186,Chevrolet ,Canyon,2016,3,0,5/6/2022 16:45
187,Ford,Edge,2013,3,0,7/19/2021 11:40
188,Hyundai,Genesis,2016,3,0,5/12/2021 12:48
188,Hyundai,Genesis,2016,3,0,9/5/2021 20:55
189,Chevrolet ,Traverse,2011,3,0,7/19/2021 11:41
190,Ford,,2019,3,0,5/18/2021 19:33
190,Ford,,2019,3,0,9/15/2021 22:46
191,Ford,Flex,2018,3,0,5/18/2021 19:33
191,Ford,Flex,2018,3,0,9/15/2021 22:47
192,Chevrolet ,Equinox,2013,3,0,2/4/2021 16:24
192,Chevrolet ,Equinox,2013,3,0,2/7/2022 22:48
193,Lexus,Coupe,2012,3,0,7/19/2021 11:40
194,Honda,Pilot,2011,3,0,2/15/2021 14:31
195,Honda,Pilot,2011,6,0,7/20/2021 14:25
195,Honda,Pilot,2011,6,0,1/25/2022 21:45
196,Honda,Pilot ,2011,6,0,2/15/2021 14:30
196,Honda,Pilot ,2011,6,0,1/25/2022 21:45
197,Honda,civic,2019,4,1,2/24/2021 15:59
198,Vehicle,Test,2019,14,0,6/4/2021 13:50
201,Ford,transit,2018,7,1,5/30/2021 16:30
201,Ford,transit,2018,7,1,1/12/2022 15:52
201,Ford,transit,2018,7,1,8/8/2022 12:07
202,Jeep,,2019,4,0,2/17/2021 20:53
203,Jeep,,2019,4,0,2/17/2021 20:54
204,Jeep ,,2019,4,0,2/17/2021 20:55
204,Jeep ,,2019,4,0,7/31/2022 18:27
205,Jeep,Cherokee,2019,4,0,3/2/2021 21:00
207,Ford,Transit,2019,6,0,3/3/2021 15:34
207,Ford,Transit,2019,6,0,4/11/2022 23:23
208,Ford,Transit,2019,6,0,3/2/2021 14:53
208,Ford,Transit,2019,6,0,9/15/2021 22:37
209,Chevrolet ,,2019,0,0,2/25/2021 15:33
210,Mercedes,GL450,2019,4,0,2/25/2021 18:35
213,Sa,3,2019,0,0,4/12/2021 13:24
213,Sa,3,2019,9,5,10/4/2021 10:31
213,Sa,3,2019,9,5,7/27/2022 7:52
218,Ponitiac,,2007,0,0,7/19/2021 15:19
219,Dodge,,2018,0,0,3/3/2021 17:38
219,Dodge,,2018,0,0,8/11/2021 13:12
221,shuttle,shuttle,2019,10,0,3/25/2021 19:34
222,Ford,E350,2016,14,0,4/14/2021 17:00
223,Ford,transit,2019,6,0,3/25/2021 17:52
224,shuttle,shuttle,2019,6,0,3/25/2021 20:18
225,shuttle,shuttle,2019,6,0,3/25/2021 17:52
226,Test,cv,2019,0,0,3/25/2021 17:06
227,Honda,2012,2019,0,0,3/25/2021 17:06
228,Honda,2012,2019,0,0,3/25/2021 17:11
229,Honda,2012,2019,0,0,3/25/2021 19:16
230,Honda,2012,2019,0,0,3/25/2021 19:15
231,Honda,2012,2019,6,0,3/25/2021 19:15
232,Honda,2012,2019,0,0,3/25/2021 19:15
233,Honda,2012,2019,0,0,3/25/2021 19:16
234,shuttle,shuttle,2019,10,0,3/26/2021 17:41
235,Ford,transit,2019,10,0,3/26/2021 17:04
236,Ford,transit,2019,10,0,3/26/2021 17:04
236,Ford,transit,2019,10,0,8/31/2021 17:16
237,Ford,transit,2019,10,0,3/26/2021 17:04
237,Ford,transit,2016,10,0,8/30/2021 15:45
238,Honda,2012,2019,0,0,3/25/2021 19:37
239,Temsa,TS30,2014,34,0,4/14/2021 17:00
240,Ford,E450,2015,23,0,4/14/2021 17:00
241,TNC,TNC,2019,10,0,3/26/2021 17:41
242,TNC,TNC,2019,10,0,3/26/2021 17:41
242,Toyota,Corolla,2019,4,0,8/15/2021 22:16
242,Toyota,Corolla,2019,4,0,12/30/2021 15:01
243,Ford,,2019,14,2,4/7/2021 10:15
243,Ford,,2019,14,2,4/19/2022 11:48
243,Ford,,2019,14,2,6/1/2022 22:57
244,Chevrolet ,Canyon ,2016,12,0,6/4/2021 13:50
245,Honda,2012,2019,0,0,4/9/2021 14:47
246,Ford,fusion,2019,0,0,4/13/2021 19:56
248,Ford,E450,2015,23,0,5/28/2021 18:21
249,Temsa,TS30,2014,34,0,6/1/2021 20:33
250,Ford,E350,2016,14,0,5/28/2021 22:47
251,Ford,,2019,0,0,4/14/2021 23:13
252,Ford,,2019,0,0,4/14/2021 23:14
252,Ford,,2019,14,2,4/19/2022 11:48
253,Ford,Transit,2019,0,0,4/20/2021 16:35
253,Ford,Transit,2019,0,0,8/31/2021 17:56
253,Ford,Transit,2019,14,0,1/2/2022 14:57
254,Chevrolet ,4500,2013,18,2,4/20/2021 18:00
255,Ford,E 450,2015,18,2,7/1/2021 23:39
256,Ford,E-450,2017,18,2,4/20/2021 18:03
257,Ford,E 450,2015,18,2,4/20/2021 18:03
258,Ford,E 450,2016,18,2,4/20/2021 18:05
259,Ford,E-450,2017,18,2,4/20/2021 18:06
260,Ford,E 450,2016,18,2,4/20/2021 18:06
261,Ford,E 450,2017,18,2,4/20/2021 18:07
262,Ford,E 450,2017,18,2,4/20/2021 18:08
263,Ford,E-450,2017,18,2,4/20/2021 18:08
264,Ford,E 450,2018,18,2,4/20/2021 18:18
265,Ford,E 450,2018,18,2,4/20/2021 18:18
266,Ford,E-450,2017,18,2,4/20/2021 18:10
267,Ford,E 450,2021,18,2,4/20/2021 18:18
268,Ford,E-450,2018,18,2,4/20/2021 18:12
269,Ford,E-450,2018,18,2,4/20/2021 18:13
270,Ford,E-450,2018,18,2,4/20/2021 18:15
271,Ford,E 450,2021,18,2,4/20/2021 18:18
272,Ford,E 450,2021,18,2,4/20/2021 18:19
273,Ford,E 450,2021,18,2,4/20/2021 18:18
274,Ford,Transit,2020,11,2,4/29/2021 15:26
275,Ford,E 450,2020,11,2,4/22/2021 17:59
276,Thomas,C-2,2011,0,0,4/27/2021 17:37
277,Ford,Transit,2020,11,2,4/22/2021 18:17
278,Ford,Transit,2019,14,0,4/23/2021 3:16
279,Ford,Transit,2019,14,4,4/23/2021 13:56
280,Thomas,C-2,2012,19,3,4/27/2021 17:38
281,Ford,Transit,2020,11,2,4/29/2021 15:37
283,Ford,transit,2019,4,0,5/7/2021 18:24
284,Ford ,Trasnit,2019,4,0,7/19/2021 16:24
284,Ford ,Trasnit,2019,4,0,8/13/2021 17:26
285,Chevrolet  ,Express,2013,5,0,5/13/2021 15:25
286,Lincoln,Town Car,2017,0,0,6/21/2021 12:11
286,Toyota,Corolla,2015,3,0,8/25/2021 19:12
286,Toyota,Corolla,2015,3,0,9/13/2021 15:18
286,Toyota,Corolla,2015,3,0,12/29/2021 22:20
286,Toyota,Corolla,2015,4,0,3/17/2022 13:37
287,Hyundai,Tuscon,2021,0,0,6/21/2021 12:53
287,Hyundai,Tuscon,2021,4,0,12/29/2021 20:48
287,Hyundai,Tuscon,2021,4,0,2/3/2022 23:46
288,Lincoln,mkt,2013,5,0,5/20/2021 15:30
288,Lincoln,mkt,2013,5,0,9/5/2021 20:56
288,Lincoln,mkt,2013,5,0,4/11/2022 23:23
288,Lincoln,mkt,2013,5,0,5/6/2022 16:46
289,Test,tes,2013,4,0,5/19/2021 14:34
290,Hyundai,,2020,0,0,6/1/2021 14:10
290,Hyundai,,2020,4,0,1/2/2022 17:54
291,Chevrolet  ,Express,2012,12,0,5/19/2021 16:06
292,Ford,Transit,2016,15,0,5/19/2021 16:07
293,Test1,Test1,2019,23,0,5/27/2021 13:00
294,Test2,Test2,2019,23,0,5/27/2021 13:00
295,Test3,Test3,2019,23,0,5/19/2021 20:29
296,Test4,Test4,2019,23,0,5/19/2021 20:21
297,Test7,Test7,2019,23,0,5/25/2021 19:51
298,Test5,Test5,2019,23,0,5/21/2021 17:17
299,Test6,Test6,2019,23,0,5/25/2021 19:50
300,Test8,Test8,2019,23,0,5/25/2021 20:14
301,Test9,Test9,2019,23,0,5/25/2021 20:16
